"TS_PL_003 ","Kiểm tra số lượng VODs hiển thị trên thumbnail với tag name bên trong Detail Playlist","passed",""
"TS_PL_026 ","Kiểm tra auto next VOD","failed","INFO BLOCK CATEGORY: Âm nhạc, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Lòng Em Tội Lỗi of Block: Âm nhạc"
"TS_PL_054 ","Kiểm tra hiển thị màn hình next playlist - VOD có set credit","failed","INFO BLOCK CATEGORY: Phim bộ hot, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Playlist - Multi Codec of Block: Phim bộ hot
Check [Player Progress in Player Page] present
"">>>> Check [Player Progress in Player Page] present actual: false ,expect: true
Element Text [Player Tv Title] in Player Page not null
"">>>> Element Text [Player Tv Title] in Player Page not null actual: false ,expect: true
Element Text [Player Tv Title] in Player Pagenot null check
"">>>> Element Text [Player Tv Title] in Player Pagenot null check actual: false ,expect: true
Check [Text [Player Tv Title] in Player Page] has text: [DOLBY AUDIO - GIAO LỘ THỜI GIAN], actual Text: 
"">>>> Check [Text [Player Tv Title] in Player Page] has text: [DOLBY AUDIO - GIAO LỘ THỜI GIAN], actual Text:  actual:  ,expect: DOLBY AUDIO - GIAO LỘ THỜI GIAN"
"TS_PL_055 ","Kiểm tra hiển thị màn hình next playlist - VOD không có set credit","failed","INFO BLOCK CATEGORY: Âm nhạc, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Lòng Em Tội Lỗi of Block: Âm nhạc"
"TS_PL_062 ","Kiểm tra nhấn chọn button Xem ngay ở màn hình next playlist trong thời gian countdown 5s","failed","INFO BLOCK CATEGORY: Âm nhạc, select block condition: RANDOM
INFO: Selected Item Info Selected Item: Lòng Em Tội Lỗi of Block: Âm nhạc"
